Data Order: Random
Data Size,Sort Type,Time Taken,Number of Comparisons
10000,bubble-sort,0.181272,0
10000,selection-sort,0.066371,0
10000,insertion-sort,0.044613,0
10000,quick-sort,0.000883,0
10000,merge-sort,0.001400,0
10000,heap-sort,0.001746,0
10000,shell-sort,0.001553,0
10000,counting-sort,0.000145,0
10000,radix-sort,0.001078,0
10000,shaker-sort,0.137959,0
10000,flash-sort,0.000361,0
30000,bubble-sort,1.748503,0
30000,selection-sort,0.608639,0
30000,insertion-sort,0.420495,0
30000,quick-sort,0.003072,0
30000,merge-sort,0.004436,0
30000,heap-sort,0.005873,0
30000,shell-sort,0.005526,0
30000,counting-sort,0.000475,0
30000,radix-sort,0.004031,0
30000,shaker-sort,1.629757,0
30000,flash-sort,0.001047,0
50000,bubble-sort,5.919049,0
50000,selection-sort,1.733953,0
50000,insertion-sort,1.140947,0
50000,quick-sort,0.005631,0
50000,merge-sort,0.008150,0
50000,heap-sort,0.011031,0
50000,shell-sort,0.010520,0
50000,counting-sort,0.000917,0
50000,radix-sort,0.006819,0
50000,shaker-sort,4.876637,0
50000,flash-sort,0.002008,0
100000,bubble-sort,26.418857,0
100000,selection-sort,7.117396,0
100000,insertion-sort,4.742952,0
100000,quick-sort,0.013050,0
100000,merge-sort,0.017487,0
100000,heap-sort,0.022781,0
100000,shell-sort,0.023652,0
100000,counting-sort,0.002047,0
100000,radix-sort,0.013615,0
100000,shaker-sort,21.048159,0
100000,flash-sort,0.004471,0

Data Order: Sorted
Data Size,Sort Type,Time Taken,Number of Comparisons
10000,bubble-sort,0.000015,0
10000,selection-sort,0.069019,0
10000,insertion-sort,0.000033,0
10000,quick-sort,0.000482,0
10000,merge-sort,0.000821,0
10000,heap-sort,0.001539,0
10000,shell-sort,0.000423,0
10000,counting-sort,0.000148,0
10000,radix-sort,0.001080,0
10000,shaker-sort,0.000015,0
10000,flash-sort,0.000188,0
30000,bubble-sort,0.000045,0
30000,selection-sort,0.654565,0
30000,insertion-sort,0.000079,0
30000,quick-sort,0.001543,0
30000,merge-sort,0.002460,0
30000,heap-sort,0.004876,0
30000,shell-sort,0.001653,0
30000,counting-sort,0.000546,0
30000,radix-sort,0.004057,0
30000,shaker-sort,0.000044,0
30000,flash-sort,0.000560,0
50000,bubble-sort,0.000074,0
50000,selection-sort,1.865097,0
50000,insertion-sort,0.000135,0
50000,quick-sort,0.002570,0
50000,merge-sort,0.004223,0
50000,heap-sort,0.008319,0
50000,shell-sort,0.002200,0
50000,counting-sort,0.000718,0
50000,radix-sort,0.006873,0
50000,shaker-sort,0.000073,0
50000,flash-sort,0.000948,0
100000,bubble-sort,0.000148,0
100000,selection-sort,7.537541,0
100000,insertion-sort,0.000276,0
100000,quick-sort,0.005682,0
100000,merge-sort,0.009222,0
100000,heap-sort,0.018792,0
100000,shell-sort,0.005146,0
100000,counting-sort,0.001954,0
100000,radix-sort,0.014049,0
100000,shaker-sort,0.000193,0
100000,flash-sort,0.002102,0

Data Order: Reverse Sorted
Data Size,Sort Type,Time Taken,Number of Comparisons
10000,bubble-sort,0.247518,0
10000,selection-sort,0.087525,0
10000,insertion-sort,0.097946,0
10000,quick-sort,0.000441,0
10000,merge-sort,0.000864,0
10000,heap-sort,0.001623,0
10000,shell-sort,0.000526,0
10000,counting-sort,0.000122,0
10000,radix-sort,0.001106,0
10000,shaker-sort,0.301748,0
10000,flash-sort,0.000245,0
30000,bubble-sort,2.265439,0
30000,selection-sort,0.724913,0
30000,insertion-sort,0.884600,0
30000,quick-sort,0.001595,0
30000,merge-sort,0.002664,0
30000,heap-sort,0.005136,0
30000,shell-sort,0.001726,0
30000,counting-sort,0.000356,0
30000,radix-sort,0.004167,0
30000,shaker-sort,2.307382,0
30000,flash-sort,0.000725,0
50000,bubble-sort,6.056727,0
50000,selection-sort,1.970778,0
50000,insertion-sort,2.400311,0
50000,quick-sort,0.003406,0
50000,merge-sort,0.004360,0
50000,heap-sort,0.008276,0
50000,shell-sort,0.003196,0
50000,counting-sort,0.000687,0
50000,radix-sort,0.006713,0
50000,shaker-sort,6.345372,0
50000,flash-sort,0.001243,0
100000,bubble-sort,24.994541,0
100000,selection-sort,8.976507,0
100000,insertion-sort,10.315795,0
100000,quick-sort,0.005435,0
100000,merge-sort,0.009059,0
100000,heap-sort,0.018185,0
100000,shell-sort,0.007240,0
100000,counting-sort,0.001549,0
100000,radix-sort,0.013756,0
100000,shaker-sort,25.509738,0
100000,flash-sort,0.0
