Data Order: Random
Data Size,Sort Type,Time Taken,Number of Comparisons
10000,bubble_sort,0.311225,100010001
10000,selection_sort,0.109783,100010001
10000,insertion_sort,0.075510,50245827
10000,quick_sort,0.001212,290524
10000,merge_sort,0.002156,573665
10000,heap_sort,0.002230,638075
10000,shell_sort,0.001949,644563
10000,counting_sort,0.000200,60002
10000,radix_sort,0.001114,130057
10000,shaker_sort,0.171351,66997398
10000,flash_sort,0.000369,104449
30000,bubble_sort,2.812858,900030001
30000,selection_sort,1.009847,900030001
30000,insertion_sort,0.647270,451994802
30000,quick_sort,0.003477,965106
30000,merge_sort,0.005916,1907708
30000,heap_sort,0.007479,2150547
30000,shell_sort,0.006702,2265993
30000,counting_sort,0.000660,180002
30000,radix_sort,0.004239,480071
30000,shaker_sort,1.938364,601517884
30000,flash_sort,0.001168,313775
50000,bubble_sort,7.858886,2500050001
50000,selection_sort,2.978110,2500050001
50000,insertion_sort,1.850711,1249460429
50000,quick_sort,0.006482,1706413
50000,merge_sort,0.009855,3333030
50000,heap_sort,0.014239,3772841
50000,shell_sort,0.013874,4419473
50000,counting_sort,0.001210,300001
50000,radix_sort,0.007064,800071
50000,shaker_sort,5.645206,1666876681
50000,flash_sort,0.001996,522699
100000,bubble_sort,32.425143,10000100001
100000,selection_sort,11.974328,10000100001
100000,insertion_sort,7.571028,4995351509
100000,quick_sort,0.012818,3548579
100000,merge_sort,0.020373,7065658
100000,heap_sort,0.027367,8044178
100000,shell_sort,0.026370,10233421
100000,counting_sort,0.002634,600002
100000,radix_sort,0.014014,1600071
100000,shaker_sort,24.112748,6659469015
100000,flash_sort,0.004857,1045191

Data Order: Sorted
Data Size,Sort Type,Time Taken,Number of Comparisons
10000,bubble_sort,0.110338,100010001
10000,selection_sort,0.133636,100010001
10000,insertion_sort,0.000040,29998
10000,quick_sort,0.000563,249991
10000,merge_sort,0.001051,465243
10000,heap_sort,0.001913,670333
10000,shell_sort,0.000529,360028
10000,counting_sort,0.000169,60002
10000,radix_sort,0.001107,130057
10000,shaker_sort,0.000022,20002
10000,flash_sort,0.000290,107995
30000,bubble_sort,1.019906,900030001
30000,selection_sort,1.048078,900030001
30000,insertion_sort,0.000180,89998
30000,quick_sort,0.001970,843575
30000,merge_sort,0.003295,1529915
30000,heap_sort,0.006262,2236652
30000,shell_sort,0.001692,1170035
30000,counting_sort,0.000576,180002
30000,radix_sort,0.004163,480071
30000,shaker_sort,0.000072,60002
30000,flash_sort,0.000969,323995
50000,bubble_sort,2.972411,2500050001
50000,selection_sort,2.964186,2500050001
50000,insertion_sort,0.000227,149998
50000,quick_sort,0.003322,1480450
50000,merge_sort,0.005771,2672827
50000,heap_sort,0.011349,3925355
50000,shell_sort,0.003245,2100033
50000,counting_sort,0.001003,300002
50000,radix_sort,0.006972,800071
50000,shaker_sort,0.000120,100002
50000,flash_sort,0.001418,539995
100000,bubble_sort,11.836042,10000100001
100000,selection_sort,11.949624,10000100001
100000,insertion_sort,0.000411,299998
100000,quick_sort,0.007005,3160867
100000,merge_sort,0.012248,5645659
100000,heap_sort,0.023290,8365084
100000,shell_sort,0.006636,4500034
100000,counting_sort,0.002205,600002
100000,radix_sort,0.014246,1600071
100000,shaker_sort,0.000291,200002
100000,flash_sort,0.002680,1079995

Data Order: Reverse Sorted
Data Size,Sort Type,Time Taken,Number of Comparisons
10000,bubble_sort,0.305363,100010001
10000,selection_sort,0.121442,100010001
10000,insertion_sort,0.154200,100009999
10000,quick_sort,0.000555,247172
10000,merge_sort,0.001153,466442
10000,heap_sort,0.001791,606775
10000,shell_sort,0.000770,475161
10000,counting_sort,0.000169,60002
10000,radix_sort,0.001121,130057
10000,shaker_sort,0.283564,100005001
10000,flash_sort,0.000302,103030
30000,bubble_sort,2.769029,900030001
30000,selection_sort,1.193189,900030001
30000,insertion_sort,1.355308,900029999
30000,quick_sort,0.001891,838380
30000,merge_sort,0.003305,1543466
30000,heap_sort,0.006088,2063328
30000,shell_sort,0.002449,1554036
30000,counting_sort,0.000527,180002
30000,radix_sort,0.004226,480071
30000,shaker_sort,2.658614,900
